blackster;inner;noinner
4,432;0,153;0,309
5,480;0,168;0,309
6,528;0,173;0,306
7,402;0,187;0,303
8,450;0,202;0,303
9,585;0,211;0,291
10,502;0,226;0,296
11,550;0,245;0,291
12,467;0,267;0,291
13,472;0,281;0,286
14,432;0,308;0,281
15,480;0,327;0,281
16,441;0,351;0,276
17,489;0,373;0,276
18,450;0,400;0,276
19,498;0,424;0,276
20,502;0,453;0,271
21,463;0,482;0,271
22,511;0,511;0,266
23,472;0,533;0,266
24,432;0,562;0,263
25,480;0,591;0,258
26,485;0,617;0,258
27,445;0,649;0,253
28,450;0,675;0,256
29,454;0,702;0,251
30,459;0,726;0,251
31,463;0,750;0,246
32,424;0,775;0,246
33,515;0,794;0,241
34,476;0,816;0,241
